Song,Artist Credit,Pattern,Votes
What It Is (Block Boy),Doechii Featuring Kodak Black,F7,3
What It Is (Block Boy),Doechii Featuring Kodak Black,F11,3
What It Is (Block Boy),Doechii Featuring Kodak Black,F13,3
What It Is (Block Boy),Doechii Featuring Kodak Black,X1,3
What It Is (Block Boy),Doechii Featuring Kodak Black,X11,3
What It Is (Block Boy),Doechii Featuring Kodak Black,X12,2
What It Is (Block Boy),Doechii Featuring Kodak Black,X16,3
Seven,Jung Kook Featuring Latto,F4,3
Seven,Jung Kook Featuring Latto,F8,3
Seven,Jung Kook Featuring Latto,X12,3
Seven,Jung Kook Featuring Latto,X15,3
Area Codes,Kaliii,F1,2
Area Codes,Kaliii,F5,3
Area Codes,Kaliii,F9,3
Area Codes,Kaliii,X1,3
Area Codes,Kaliii,X3,3
Area Codes,Kaliii,X8,3
Wild As Her,Corey Kent,M3,3
Wild As Her,Corey Kent,M8,3
Wild As Her,Corey Kent,M9,3
Wild As Her,Corey Kent,M12,3
Wild As Her,Corey Kent,X4,3
Wild As Her,Corey Kent,X13,3
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,F3,3
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,F4,3
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,F6,3
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,F7,3
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,F8,3
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,F10,3
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,X5,2
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,X8,3
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,X9,3
Put It On Da Floor Again,Latto Featuring Cardi B,F5,3
Put It On Da Floor Again,Latto Featuring Cardi B,X3,2
Put It On Da Floor Again,Latto Featuring Cardi B,X8,3
Put It On Da Floor Again,Latto Featuring Cardi B,X14,2
Put It On Da Floor Again,Latto Featuring Cardi B,X16,3
Bloody Mary,Lady Gaga,F11,3
Bloody Mary,Lady Gaga,X11,3
Bloody Mary,Lady Gaga,X12,2
Espresso,Sabrina Carpenter,F3,3
Espresso,Sabrina Carpenter,F7,3
Espresso,Sabrina Carpenter,F8,3
Espresso,Sabrina Carpenter,F9,3
Espresso,Sabrina Carpenter,F11,3
Espresso,Sabrina Carpenter,X9,3
Espresso,Sabrina Carpenter,X15,3
Agora Hills,Doja Cat,F3,3
Agora Hills,Doja Cat,F7,3
Agora Hills,Doja Cat,F11,3
Agora Hills,Doja Cat,F13,3
Agora Hills,Doja Cat,X2,2
Agora Hills,Doja Cat,X8,2
Agora Hills,Doja Cat,X9,3
Agora Hills,Doja Cat,X11,3
Feather,Sabrina Carpenter,F2,3
Feather,Sabrina Carpenter,X10,3
Cowgirls,Morgan Wallen Featuring ERNEST,M3,3
Cowgirls,Morgan Wallen Featuring ERNEST,M6,3
Cowgirls,Morgan Wallen Featuring ERNEST,M8,3
Cowgirls,Morgan Wallen Featuring ERNEST,M12,3
Cowgirls,Morgan Wallen Featuring ERNEST,X2,3
Cowgirls,Morgan Wallen Featuring ERNEST,X16,3
Wanna Be,GloRilla & Megan Thee Stallion,F3,3
Wanna Be,GloRilla & Megan Thee Stallion,F4,3
Wanna Be,GloRilla & Megan Thee Stallion,F7,3
Wanna Be,GloRilla & Megan Thee Stallion,F9,3
Wanna Be,GloRilla & Megan Thee Stallion,X1,3
Wanna Be,GloRilla & Megan Thee Stallion,X8,3
Wanna Be,GloRilla & Megan Thee Stallion,X9,3
Wanna Be,GloRilla & Megan Thee Stallion,X15,3
Yeah Glo!,GloRilla,F1,2
Yeah Glo!,GloRilla,F2,3
Yeah Glo!,GloRilla,F6,3
Yeah Glo!,GloRilla,X8,3
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,M1,3
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,M2,3
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,M4,3
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,M10,3
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,F5,3
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,X1,3
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,X2,3
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,X3,3
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,X4,2
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,X7,3
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,X13,3
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,X14,3
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,X15,3
Never Lose Me,Flo Milli,F1,3
Never Lose Me,Flo Milli,F3,3
Never Lose Me,Flo Milli,F5,3
Never Lose Me,Flo Milli,F11,3
Never Lose Me,Flo Milli,F14,3
Never Lose Me,Flo Milli,X1,3
Never Lose Me,Flo Milli,X3,3
Never Lose Me,Flo Milli,X8,3
Never Lose Me,Flo Milli,X9,3
Never Lose Me,Flo Milli,X16,3
Get It Sexyy,Sexyy Red,F7,3
Get It Sexyy,Sexyy Red,F8,3
Get It Sexyy,Sexyy Red,X1,3
Get It Sexyy,Sexyy Red,X15,3
Everybody,Nicki Minaj Featuring Lil Uzi Vert,M1,3
Everybody,Nicki Minaj Featuring Lil Uzi Vert,M11,2
Everybody,Nicki Minaj Featuring Lil Uzi Vert,X1,3
Everybody,Nicki Minaj Featuring Lil Uzi Vert,X2,3
Everybody,Nicki Minaj Featuring Lil Uzi Vert,X3,3
Everybody,Nicki Minaj Featuring Lil Uzi Vert,X4,3
Everybody,Nicki Minaj Featuring Lil Uzi Vert,X16,2
High Road,Koe Wetzel & Jessie Murph,X11,3
High Road,Koe Wetzel & Jessie Murph,X12,2
High Road,Koe Wetzel & Jessie Murph,X14,3
Taste,Sabrina Carpenter,F3,3
Taste,Sabrina Carpenter,F4,3
Taste,Sabrina Carpenter,F9,3
Taste,Sabrina Carpenter,X8,3
Taste,Sabrina Carpenter,X9,3
Taste,Sabrina Carpenter,X15,3
FTCU,Nicki Minaj,F2,3
FTCU,Nicki Minaj,F5,3
FTCU,Nicki Minaj,F8,2
FTCU,Nicki Minaj,X3,3
FTCU,Nicki Minaj,X8,3
FTCU,Nicki Minaj,X10,3
FTCU,Nicki Minaj,X15,3
On My Mama,Victoria Monet,F7,2
On My Mama,Victoria Monet,F8,3
On My Mama,Victoria Monet,F12,3
On My Mama,Victoria Monet,X2,3
On My Mama,Victoria Monet,X8,3
On My Mama,Victoria Monet,X15,3
That's So True,Gracie Abrams,F3,3
That's So True,Gracie Abrams,F11,3
That's So True,Gracie Abrams,X9,3
That's So True,Gracie Abrams,X11,2
That's So True,Gracie Abrams,X15,3
30 For 30,SZA With Kendrick Lamar,F2,3
30 For 30,SZA With Kendrick Lamar,F3,3
30 For 30,SZA With Kendrick Lamar,F10,3
30 For 30,SZA With Kendrick Lamar,F14,3
30 For 30,SZA With Kendrick Lamar,X8,3
30 For 30,SZA With Kendrick Lamar,X9,3
30 For 30,SZA With Kendrick Lamar,X10,3
30 For 30,SZA With Kendrick Lamar,X16,3
Manchild,Sabrina Carpenter,F4,3
Manchild,Sabrina Carpenter,F9,3
Manchild,Sabrina Carpenter,F11,3
Manchild,Sabrina Carpenter,X12,3
Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",M13,3
Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",F1,3
Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",F2,2
Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",F3,2
Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",X1,3
Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",X8,3
Whatchu Kno About Me,GloRilla & Sexyy Red,F1,3
Whatchu Kno About Me,GloRilla & Sexyy Red,F6,3
Whatchu Kno About Me,GloRilla & Sexyy Red,F7,3
Whatchu Kno About Me,GloRilla & Sexyy Red,X1,3
Whatchu Kno About Me,GloRilla & Sexyy Red,X2,3
Whatchu Kno About Me,GloRilla & Sexyy Red,X7,3
Whatchu Kno About Me,GloRilla & Sexyy Red,X8,3
Whatchu Kno About Me,GloRilla & Sexyy Red,X15,3
Blue Strips,Jessie Murph,F4,3
Blue Strips,Jessie Murph,F8,3
Blue Strips,Jessie Murph,X2,3
Blue Strips,Jessie Murph,X8,2
Blue Strips,Jessie Murph,X15,3
Happen To Me,Russell Dickerson,M3,3
Happen To Me,Russell Dickerson,M6,3
Happen To Me,Russell Dickerson,M7,3
Happen To Me,Russell Dickerson,M8,3
BMF,SZA,F3,3
BMF,SZA,F11,3
BMF,SZA,F13,3
BMF,SZA,X8,3
BMF,SZA,X9,3
BMF,SZA,X11,3
BMF,SZA,X15,3
Heart Of A Woman,Summer Walker,F4,3
Heart Of A Woman,Summer Walker,F11,3
Heart Of A Woman,Summer Walker,X11,3
Heart Of A Woman,Summer Walker,X12,3
